VERSION;AIRPORT;ASMA_RADIUS;AC_CLASS;RUNWAY;ASMA_SECTOR;FROM_BEARING;TO_BEARING;VALID_FROM;VALID_TO;UNIMPEDED_TIME;UNIMPEDED_DIST_KM;STD_U;TF_UNIMPEDED;SATURATION_LEVEL;SAMPLE_FROM;SAMPLE_TO;SAMPLE_SIZE;DAY_TIME_START;DAY_TIME_END;TIMEZONE;CONGESTION_LIMIT
11;EBBR;40;LJ;20;2;150;260;01/09/2013;01/01/2099;;;;3;8;05/05/2013;17/08/2013;8;6,5;22;1;0,5
10;EBBR;100;LJ;20;2;150;260;01/01/2011;01/09/2013;;;;2;16;11/01/2011;19/12/2011;9;6,5;22;1;0,5
10;EBBR;40;LJ;20;2;150;260;01/01/2011;01/09/2013;;;;2;10;11/01/2011;19/12/2011;9;6,5;22;1;0,5
11;EBBR;100;LJ;20;2;150;260;01/09/2013;01/01/2099;;;;1;13;05/05/2013;17/08/2013;8;6,5;22;1;0,5
11;EBBR;100;LJ;20;3;260;330;01/09/2013;01/01/2099;;;;2;15;26/11/2012;11/08/2013;5;6,5;22;1;0,5
10;EBBR;40;LJ;20;3;260;330;01/01/2011;01/09/2013;;;;1;9;06/06/2011;29/11/2011;4;6,5;22;1;0,5
11;EBBR;40;LJ;20;3;260;330;01/09/2013;01/01/2099;;;;2;9;26/11/2012;11/08/2013;5;6,5;22;1;0,5
10;EBBR;100;LJ;20;3;260;330;01/01/2011;01/09/2013;;;;1;18;16/10/2011;29/11/2011;2;6,5;22;1;0,5
11;EBBR;40;LJ;20;4;330;60;01/09/2013;01/01/2099;;;;1;6;04/08/2013;04/08/2013;1;6,5;22;1;0,5
10;EBBR;100;LJ;20;4;330;60;01/01/2011;01/09/2013;;;;1;14;06/09/2011;08/12/2011;2;6,5;22;1;0,5
10;EBBR;40;LJ;20;4;330;60;01/01/2011;01/09/2013;;;;1;7;06/09/2011;08/12/2011;2;6,5;22;1;0,5
11;EBBR;40;LJ;25L;1;60;150;01/09/2013;01/01/2099;11,3;80;1,4936964846127;97;6;06/11/2012;31/10/2013;203;6,5;22;1;0,5
10;EBBR;100;LJ;25L;1;60;150;01/01/2011;01/09/2013;23,55;210;2,20252077987048;169;14;02/01/2011;28/12/2011;293;6,5;22;1;0,5
11;EBBR;100;LJ;25L;1;60;150;01/09/2013;01/01/2099;23,4;207;2,03601171586341;81;12;06/11/2012;28/10/2013;198;6,5;22;1;0,5
10;EBBR;40;LJ;25L;1;60;150;01/01/2011;01/09/2013;11,175;80;1,29389821918523;158;7;02/01/2011;28/12/2011;301;6,5;22;1;0,5
11;EBBR;100;LJ;25L;2;150;260;01/09/2013;01/01/2099;26,7916666666667;251,5;2,7287802309986;28;14;04/11/2012;29/10/2013;67;6,5;22;1;0,5
10;EBBR;100;LJ;25L;2;150;260;01/01/2011;01/09/2013;25,9833333333333;247,5;2,08312134187131;46;16;10/01/2011;09/12/2011;76;6,5;22;1;0,5
11;EBBR;40;LJ;25L;2;150;260;01/09/2013;01/01/2099;16,5;137;2,0935066550987;30;8;04/11/2012;29/10/2013;66;6,5;22;1;0,5
10;EBBR;40;LJ;25L;2;150;260;01/01/2011;01/09/2013;15,475;129,5;1,73480220296732;38;9;10/01/2011;09/12/2011;76;6,5;22;1;0,5
