Aircraft type;WTC;Turboprop;ENGINE_TYPE;COMMENT
MD11;H;FALSE;J;
MD80;M;FALSE;J;
MD82;M;FALSE;J;
MD83;M;FALSE;J;
MD88;M;FALSE;J;
MD90;M;FALSE;J;
MIR2;M;;J;
MIR3;M;;;
MIR4;M;;;
MIR5;M;;;
MU2;L;TRUE;T;
N265;M;FALSE;;
NIM;M;;J;
NOMA;L;TRUE;T;
OV10;M;TRUE;T;
P180;L;TRUE;T;
P3;M;TRUE;T;
P46T;L;TRUE;T;
P8;M;FALSE;J;
PA23;L;FALSE;P;
PA28;L;FALSE;P;
PA30;L;FALSE;P;
PA31;L;FALSE;P;
PA32;L;FALSE;P;
PA34;L;TRUE;P;
PA44;L;TRUE;P;
PAZT;L;;P;
PC12;L;TRUE;T;
PRM1;L;FALSE;J;
RJ85;M;FALSE;J;Avro RJ85
RJ95;M;FALSE;J;Avro RJ95
S76;L;TRUE;J;
S92;M;TRUE;J;
S210;M;FALSE;T;
S211;L;FALSE;T;
SB20;M;TRUE;T;
SBR1;M;FALSE;J;
SC7;L;TRUE;T;
SF34;M;TRUE;T;
SH36;M;TRUE;T;
SP7;L;FALSE;P;
SR22;L;FALSE;P;
STRK;L;FALSE;J;
SU26;M;FALSE;P;
SU27;M;FALSE;J;
SU29;M;FALSE;P;
SU31;M;FALSE;P;
SU95;M;FALSE;J;
SW3;L;TRUE;T;
SW4;L;TRUE;T;
T12;M;FALSE;;
T134;M;FALSE;J;
T144;M;FALSE;J;
T154;M;FALSE;J;
T204;M;FALSE;J;
T240;L;FALSE;J;
T35;L;FALSE;P;
T39;M;FALSE;J;
TBM7;L;TRUE;T;
TBM8;L;FALSE;T;
TEX2;L;TRUE;T;
TRIS;L;TRUE;P;
TU3A;M;;;
U11;L;;;
U3;L;FALSE;;
U8E;L;FALSE;;
U8F;L;FALSE;;
V22;M;FALSE;T;Bell-Boeing Osprey
VC 10;H;FALSE;J;
VC11;M;FALSE;;
VC15;H;FALSE;;
VC4;M;FALSE;;
VISC;M;TRUE;T;
WW24;M;FALSE;J;
Y130;M;FALSE;J;
773;H;FALSE;J;Boeing 777-300ER
77W;H;FALSE;J;Boeing 777-300ER
A20N;M;FALSE;J;Airbus A320neo
BCS1;M;FALSE;J;Bombardier CS100
BCS3;M;FALSE;J;Bombardier CS300
E195;M;FALSE;J;Embraer E195
E75L ;M;FALSE;J;Embraer E175 (long wing)
G109;L;FALSE;P;Grob G-109
P28B;L;FALSE;P;Piper PA-28 Cherokee
